,output_text,vector,output_data_source,index
0,"یک پند ز من بشنو خواهی نشوی رسوا	من خمره افیونم زنهار سرم مگشا
آتش به من اندرزن آتش چه زند با من	کاندر فلک افکندم صد آتش و صد غوغا
گر چرخ همه سر شد ور خاک همه پا شد	نی سر بهلم آن را نی پا بهلم این را
یا صافیه الخمر فی آنیه المولی	اسکر نفرا لدا و السکر بنا اولی",[[0.00104446 0.00232026 0.00911014 ... 0.00968178 0.00494524 0.02312137]],غزلیات مولوی,89
1,"به برج دل رسیدی بیست این جا	چو آن مه را بدیدی بیست این جا
بسی این رخت خود را هر نواحی	ز نادانی کشیدی بیست این جا
بشد عمری و از خوبی آن مه	به هر نوعی شنیدی بیست این جا
ببین آن حسن را کز دیدن او	بدید و نابدیدی بیست این جا
به سینه تو که آن پستان شیرست	که از شیرش چشیدی بیست این جا","[[ 0.01676868  0.00090808  0.00301191 ... -0.00018915  0.00188658
   0.02008759]]",غزلیات مولوی,108
2,"ای بروییده به ناخواست به مانند گیا	چون تو را نیست نمک خواه برو خواه بیا
هر که را نیست نمک گر چه نماید خدمت	خدمت او به حقیقت همه زرقست و ریا
برو ای غصه دمی زحمت خود کوته کن	باده عشق بیا زود که جانت بزیا",[[0.00953661 0.00284536 0.00209986 ... 0.00502314 0.01267943 0.02064781]],غزلیات مولوی,168
3,"از یکی آتش برآوردم تو را	در دگر آتش بگستردم تو را
از دل من زاده ای همچون سخن	چون سخن آخر فروخوردم تو را
با منی وز من نمی داری خبر	جادوم من جادوی کردم تو را
تا نیفتد بر جمالت چشم بد	گوش مالیدم بیازردم تو را
دایم اقبالت جوان شد ز آنچ داد	این کف دست جوامردم تو را",[[0.01329381 0.00408318 0.00186628 ... 0.00662662 0.0036941  0.02921162]],غزلیات مولوی,173
4,"ز آتش شهوت برآوردم تو را	و اندر آتش بازگستردم تو را
از دل من زاده ای همچون سخن	چون سخن من هم فروخوردم تو را
با منی وز من نمی دانی خبر	چشم بستم جادوی کردم تو را
تا نیازارد تو را هر چشم بد	از برای آن بیازردم تو را
رو جوامردی کن و رحمت فشان	من به رحمت بس جوامردم تو را","[[-3.4866112e-04 -5.2102678e-08 -9.9761951e-07 ...  5.5357604e-04
  -1.0419036e-04 -2.4354480e-04]]",غزلیات مولوی,174
5,"دل چو دانه ما مثال آسیا	آسیا کی داند این گردش چرا
تن چو سنگ و آب او اندیشه ها	سنگ گوید آب داند ماجرا
آب گوید آسیابان را بپرس	کو فکند اندر نشیب این آب را
آسیابان گویدت کای نان خوار	گر نگردد این که باشد نانبا
ماجرا بسیار خواهد شد خمش	از خدا واپرس تا گوید تو را","[[ 1.8500195e-05 -4.2023732e-08 -2.0021848e-06 ...  8.8737236e-04
  -2.0972459e-05 -1.6088012e-04]]",غزلیات مولوی,181
6,"من رسیدم به لب جوی وفا	دیدم آن جا صنمی روح فزا
سپه او همه خورشیدپرست	همچو خورشید همه بی سر و پا
بشنو از آیت قرآن مجید	گر تو باور نکنی قول مرا
قد وجدت امراه تملکهم	اوتیت من کل شی ء و لها
چونک خورشید نمودی رخ خود	سجده دادیش چو سایه همه را
من چو هدهد بپریدم به هوا	تا رسیدم به در شهر سبا",[[0.01453936 0.00357628 0.00618314 ... 0.01814502 0.00274633 0.02592418]],غزلیات مولوی,184
7,"ای در ما را زده شمع سرایی درآ	خانه دل آن توست خانه خدایی درآ
خانه ز تو تافته ست روشنیی یافته ست	ای دل و جان جای تو ای تو کجایی درآ
ای صنم خانگی مایه دیوانگی	ای همه خوبی تو را پس تو کرایی درآ","[[ 2.2550144e-04 -4.1107810e-09 -4.8333068e-06 ...  1.7715797e-04
  -4.7966707e-05 -2.7250178e-04]]",غزلیات مولوی,209
8,"هله ای کیا نفسی بیا	در عیش را سره برگشا
این فلان چه شد آن فلان چه شد	نبود مرا سر ماجرا
نهلد کسی سر زلف او	نرهد دلی ز چنین لقا
نکند کسی ز خوشی سفر	نرود کسی ز چنین سرا
بهل این همه بده آن قدح	که شنیده ام کرم شما
قدحی که آن پر دل شود	بپرد دلم به سوی سما
خمش این نفس دم دل مزن	که فدای تو دل و جان ما","[[ 2.5243698e-05 -1.0655883e-08 -1.8464643e-06 ...  1.7270641e-04
  -4.4291712e-05  8.2067403e-05]]",غزلیات مولوی,238
9,"خیک دل ما مشک تن ما	خوش نازکنان بر پشت سقا
از چشمه جان پر کرد شکم	کای تشنه بیا ای تشنه بیا
سقا پنهان وان مشک عیان	لیکن نبود از مشک جدا
گر رقص کند آن شیر علم	رقصش نبود جز رقص هوا

دورم ز نظر فعلم بنگر	تا بوی بود بر عود گوا
از بوی تو جان قانع نشود	ای چشمه جان ای چشم رضا","[[-1.5914805e-04  1.9636730e-04 -1.1042110e-03 ... -4.8726339e-05
  -1.2508070e-04  1.6355278e-02]]",غزلیات مولوی,242
10,"بانگ تسبیح بشنو از بالا	پس تو هم سبح اسمه الاعلی
گل و سنبل چرد دلت چون یافت	مرغزاری که اخرج المرعی
یعلم الجهر نقش این آهوست	ناف مشکین او و مایخفی
نفس آهوان او چو رسید	روح را سوی مرغزار هدی
تشنه را کی بود فراموشی	چون سنقرئک فلا تنسی","[[-7.1474678e-05  3.2367891e-05 -7.7693167e-06 ...  2.1561972e-04
  -9.7298442e-05  4.0939834e-04]]",غزلیات مولوی,247
11,"تعالوا کلنا ذا الیوم سکری	باقداح تخامرنا و تتری
سقانا ربنا کاسا دهاقا	فشکرا ثم شکرا ثم شکرا
تعالوا ان هذا یوم عید	تجلی فیه ما ترجون جهرا
طوارق زرننا و اللیل ساجی	فما ابقین فی التضییق صدرا
ز کف هر یکی دریای بخشش	نثرن جواهرا جما و وفرا",[[0.00869611 0.00422909 0.00762669 ... 0.01089932 0.00864037 0.01515856]],غزلیات مولوی,271
12,"جاء الربیع مفتخرا فی جوارنا	جاء الحبیب مبتسما وسط دارنا
طیبوا و اکرموا و تعالوا التشربوا	عند الحبیب مبتشرا فی عقارنا
من رام مغنما و تصدی جواهرا	فلیلزم الجواری وسط بحارنا",[[0.00322693 0.00456476 0.01121149 ... 0.03541389 0.00614955 0.02249585]],غزلیات مولوی,283
13,"اخی رایت جمالا سبا القلوب سبا	و هل اتیک حدیث جلا العقول جلا
الست من یتمنی الخلود فی طرب	الا انتبه و تیقظ فقد اتاک اتی
یقر عینک بدر و فی جبینته	سعاده و مرام و عزه و سنا
و سکره لفوادی من شمائله	کانها ملات کاسنا و اسقانا
عجائب ظهرت بین صفو غرته	تلالات لسناه بمهجتی و صفا","[[ 5.9634335e-03 -4.2650074e-05  8.4800023e-04 ...  4.9841222e-03
   4.2054290e-03  2.0633731e-02]]",غزلیات مولوی,284
14,"اتاک عید وصال فلا تذق حزنا	و نلت خیر ریاض فنعم ما سکنا
و زال عنک فراق امر من صبر	و محنه فتنتنا و خاب من فتنا
فهز غصن سعود و کل جنا شجر	فقر عینک منه و نعم ذاک جنا
فطب تجوت من اصحاب قریه ظلمت	و نال قلبک منهم شقاوه و عنا","[[5.6842895e-04 1.2706054e-03 2.0352920e-05 ... 1.3094291e-02
  1.0300547e-02 1.5951009e-02]]",غزلیات مولوی,285
15,"یا من بنا قصر الکمال مشیدا	لا زال سعدا بالسعود مویدا
هز القلوب و ردها بصدوده	فغدا دماء العاشقین مبددا
یا ساکنین محال العشق فی قلق	تظنون ان العشق یترککم سدا
لا و الذی حاز الملاحه و البها	و لم یبق للعشاق حیلا و لا یدا
و ذلک شمس الدین مولا و سیدا	و تبریز منه کالفرادیس قد غدا",[[0.00292601 0.01737136 0.00310019 ... 0.01828588 0.01436307 0.01165995]],غزلیات مولوی,286
16,"ورد البشیر مبشرا ببشاره	احیی الفواد عشیه بورودها
فکان ارضا نورت بربیعها	فکان شمسا اشرقت بخدودها
یا طاعنی فی صبوتی و تهتکی	انظر الی نار الهوی و وقودها",[[0.00367871 0.0051058  0.00191004 ... 0.01550441 0.00476178 0.02783779]],غزلیات مولوی,287
